_id__$oid	id	code	name	short_name	campus	lat	lng	address__street	address__city	address__province	address__country	address__postal
56af1083a6b3f10a7e86cd2b	323D	XX323D	Schreiberwood Res - Block D (Phase I)	Schreiberwood-D	UTM	43.54907	-79.66738	3400 Residence Road	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd2c	323L	XX323L	Putnam Place Res - Block L  (Phase III)	Putnam-L	UTM	43.54647	-79.66459	1930 Outer Circle	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd2d	323Q	XX323Q	Leacock Lane Res - Block Q (Phase IV)	Leacock-Q	UTM	43.54591	-79.66286	1900 Outer Circle	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd2e	603	GI	George Ignatieff Theatre	G Ignatieff	UTSG	43.66582	-79.3971	15  Devonshire Place	Toronto	ON	Canada	M5S 1H8
56af1083a6b3f10a7e86cd2f	231	XX231	N'sheemaehn Child Care Centre	UTSC Childcare	UTSC	43.78569	-79.1881	1255 Military Trail	Scarborough	ON	Canada	M1C 1A3
56af1083a6b3f10a7e86cd30	203	SL	UTSC Student Centre	Student Ctr	UTSC	43.78501	-79.18695	1265 Military Trail	Scarborough	ON	Canada	M1C 1A4
56af1083a6b3f10a7e86cd31	505A	UB	Burwash Residence (Upper Houses)	BurwashUpper	UTSG	43.66692	-79.39106	89  Charles Street West	Toronto	ON	Canada	M5S 1K6
56af1083a6b3f10a7e86cd32	430	CF	Cardinal Flahiff Building	Card Flahiff	UTSG	43.6652	-79.38869	95  St. Joseph Street	Toronto	ON	Canada	M5S 2R9
56af1083a6b3f10a7e86cd33	506	AN	Annesley Hall	Annesley	UTSG	43.66777	-79.39296	95  Queen's Park	Toronto	ON	Canada	M5S 2C7
56af1083a6b3f10a7e86cd34	210G	XX210G	Block G (Student Townhouse Res-Phase II)	Block G-Pse II	UTSC	43.78255	-79.18425	1295 Military Trail	Scarborough	ON	Canada	M1C 3A8
56af1083a6b3f10a7e86cd35	314A	KN	Innovation Complex		UTM	0	0	1833 Inner Circle	Mississauga	ON	Canada	
56af1083a6b3f10a7e86cd36	179	CZ	College Street-229	College-229	UTSG	43.65816	-79.39745	229  College Street	Toronto	ON	Canada	M5T 1R4
56af1083a6b3f10a7e86cd37	16	BI	Banting Institute	Banting Inst	UTSG	43.66049	-79.38859	100  College Street	Toronto	ON	Canada	M5G 1L5
56af1083a6b3f10a7e86cd38	161	PB	Leslie L. Dan Pharmacy Building	Dan Pharmacy	UTSG	43.65996	-79.3917	144  College Street	Toronto	ON	Canada	M5S 3M2
